Municipality,Type,County,State,Address - Combined,latitude,longitude
Stockbridge,Town,Berkshire,MA,"Stockbridge, MA, USA",42.287587,-73.320386
Stoneham,Town,Middlesex,MA,"Stoneham, MA, USA",42.480247,-71.099972
Stoughton,Town,Norfolk,MA,"Stoughton, MA, USA",42.12291,-71.109201
Stow,Town,Middlesex,MA,"Stow, MA, USA",42.437037,-71.50562
Sturbridge,Town,Worcester,MA,"Sturbridge, MA, USA",42.108412,-72.078706
Sudbury,Town,Middlesex,MA,"Sudbury, MA, USA",42.383428,-71.416173
Sunderland,Town,Franklin,MA,"Sunderland, MA, USA",42.466373,-72.579511
Sutton,Town,Worcester,MA,"Sutton, MA, USA",42.150035,-71.763288
Swampscott,Town,Essex,MA,"Swampscott, MA, USA",42.470944,-70.917556
Swansea,Town,Bristol,MA,"Swansea, MA, USA",41.748162,-71.189562
Taunton,City,Bristol,MA,"Taunton, MA, USA",41.900101,-71.089767
Templeton,Town,Worcester,MA,"Templeton, MA, USA",42.555644,-72.067579
Tewksbury,Town,Middlesex,MA,"Tewksbury, MA, USA",42.610648,-71.234225
Tisbury,Town,Dukes,MA,"Tisbury, MA, USA",41.45589,-70.61411
Tolland,Town,Hampden,MA,"Tolland, MA, USA",42.081388,-73.011867
Topsfield,Town,Essex,MA,"Topsfield, MA, USA",42.637594,-70.949505
Townsend,Town,Middlesex,MA,"Townsend, MA, USA",42.666772,-71.705126
Truro,Town,Barnstable,MA,"Truro, MA, USA",41.99477,-70.049011
Tyngsborough,Town,Middlesex,MA,"Tyngsborough, MA, USA",42.67667,-71.424422
Tyringham,Town,Berkshire,MA,"Tyringham, MA, USA",42.245922,-73.203717
Upton,Town,Worcester,MA,"Upton, MA, USA",42.174488,-71.602258
Uxbridge,Town,Worcester,MA,"Uxbridge, MA, USA",42.077243,-71.630253
Wakefield,Town,Middlesex,MA,"Wakefield, MA, USA",42.50394,-71.072339
Wales,Town,Hampden,MA,"Wales, MA, USA",42.069539,-72.222301
Walpole,Town,Norfolk,MA,"Walpole, MA, USA",42.141744,-71.24951
Waltham,City,Middlesex,MA,"Waltham, MA, USA",42.376485,-71.235611
Ware,Town,Hampshire,MA,"Ware, MA, USA",42.259846,-72.239857
Wareham,Town,Plymouth,MA,"Wareham, MA, USA",41.761451,-70.719734
Warren,Town,Worcester,MA,"Warren, MA, USA",42.212542,-72.191185
Warwick,Town,Franklin,MA,"Warwick, MA, USA",42.682029,-72.338974
Washington,Town,Berkshire,MA,"Washington, MA, USA",42.36592,-73.116214
Watertown,City,Middlesex,MA,"Watertown, MA, USA",42.37093,-71.182832
Wayland,Town,Middlesex,MA,"Wayland, MA, USA",42.362595,-71.361448
Webster,Town,Worcester,MA,"Webster, MA, USA",42.050091,-71.880063
Wellesley,Town,Norfolk,MA,"Wellesley, MA, USA",42.296797,-71.292388
Wellfleet,Town,Barnstable,MA,"Wellfleet, MA, USA",41.930547,-70.030975
Wendell,Town,Franklin,MA,"Wendell, MA, USA",42.548185,-72.396722
Wenham,Town,Essex,MA,"Wenham, MA, USA",42.604261,-70.891161
West Boylston,Town,Worcester,MA,"West Boylston, MA, USA",42.366759,-71.785627
West Bridgewater,Town,Plymouth,MA,"West Bridgewater, MA, USA",42.018989,-71.007821
West Brookfield,Town,Worcester,MA,"West Brookfield, MA, USA",42.235346,-72.141164
West Newbury,Town,Essex,MA,"West Newbury, MA, USA",42.80148,-70.989778
West Springfield,City,Hampden,MA,"West Springfield, MA, USA",42.107038,-72.620367
West Stockbridge,Town,Berkshire,MA,"West Stockbridge, MA, USA",42.33381,-73.367758
West Tisbury,Town,Dukes,MA,"West Tisbury, MA, USA",41.381224,-70.674472
Westborough,Town,Worcester,MA,"Westborough, MA, USA",42.269522,-71.616129
Westfield,City,Hampden,MA,"Westfield, MA, USA",42.125093,-72.749538
Westford,Town,Middlesex,MA,"Westford, MA, USA",42.579258,-71.437841
Westhampton,Town,Hampshire,MA,"Westhampton, MA, USA",42.302867,-72.774538
Westminster,Town,Worcester,MA,"Westminster, MA, USA",42.545923,-71.910631
Weston,Town,Middlesex,MA,"Weston, MA, USA",42.366763,-71.303113
Westport,Town,Bristol,MA,"Westport, MA, USA",41.570018,-71.073548
Westwood,Town,Norfolk,MA,"Westwood, MA, USA",42.213987,-71.224499
Weymouth,City,Norfolk,MA,"Weymouth, MA, USA",42.218072,-70.941036
Whately,Town,Franklin,MA,"Whately, MA, USA",42.43981,-72.634812
Whitman,Town,Plymouth,MA,"Whitman, MA, USA",42.080656,-70.935599
